NTTN A END,NTTN Z END,SCR ID
Dhaka,Faridpur,76832
Dhaka,Gazipur,46919
Dhaka,Savar EPZ,46921
Dhaka,Siddirgonj,Pri-137911/Sec-114311
Dhaka,Munshigonj,84201
Dhaka,Feni,52433
Dhaka,CTG,19162/Backup link-108908
CTG,Cox'sBazar,48830
Dhaka,Kaptai,37373
Dhaka,B.Baria,77221/131249 (primary)
Dhaka,Sylhet,Pri-107161/Sec-107417
Dhaka,Habiganj,108103
Dhaka,Kustia,68917
Dhaka,Benapole,43690
Dhaka,Bogura,59365
Bogura,Rajshahi,59366
Dhaka,Rajshahi,Pri-55180/Sec-121541
Dhaka,Joypurhat,125439
Dhaka,Sirajgonj,Pri-59064/Sec-127504
Dhaka,Rangpur,Pri-68468/Sce-139416
Dhaka,Dinajpur,69486
Dhaka,Thakurgaon,78617
Dhaka,Gaibandha,83323
Dhaka,Mymenshing,12183
Dhaka,Potuakhali,83563
Dhaka,Chapai,83689
Dhaka,Tangail,84471
Dhaka,Savar Bazar,85044
Dhaka,Moulovibazar,Pri-87483/Sec-102134
CTG,Rangunia(Lichubagan),90748
Dhaka,Bhola,91044
Rajshahi,Dinajpur,91728
Dhaka,Ghorashal,92536
Dhaka,Magura,94561
Dhaka,"Ashuganj, B.Baria",96744
CTG,"Kumira, CTG",96933
CTG,"Sitakunda, CTG",96861
CTG,Bhatiari,97305
Dhaka,Bagerhat,97638
Dhaka,Gopalganj,99693
Dhaka,Maizdee,100068
CTG,Dohazari,103016
Dhaka,Khepupara,103004
Dhaka,Jibonnagar,103006
Dhaka,Gouronodi,106056
Dhaka,Bhairab,102924
Dhaka,Jhalokathi,103208
Dhaka,Golachipa,102785
Dhaka,Charfashion,102733
CTG,Nazirhat,103338
CTG,Khagrachari,103450
Dhaka,Ramganj,103354
CTG,Fatikchari,103342
Dhaka,Raipur,103392
Dhaka,"Sonatala,Bogura",103451
Dhaka,Norail,103576
CTG,Ramgarh,103801
CTG,Chatarhat,103788
Dhaka,Lalmonirhat,103899
Dhaka,Gurudaspur,104703
Dhaka,Ataikula,104697
Dhaka,Santhia,104987
CTG,Teknaf,105043
Dhaka,Birampur,105105
Dhaka,Sherpur(Bogura),104864
CTG,Chakoria,107739
Dhaka(Ahmed tower),"Chatmohor, Pabna",108828
Dhaka,Komolganj,109644
CTG,Rangamati,109879
Dhaka,Alekhar Chor,109871
CTG,Banshkhali,111166
CTG,Bandarban,112018
Dhaka,Akhaura,111503
CTG,Eidgaon,113870
Dhaka,Matajeerhat/Badalgachi,114595
Dhaka,Gazipur,115962
Dhaka,Sunamganj,117234
CTG,Jalilnagoar,117907
CTG,Raozan,118214
Dhaka,Saidpur,118394
Dhaka,Mawna,118403
Dhaka,Jashore,118640
Dhaka,Manikganj,118714
Dhaka,"Aihai, Sapahar Naogaon",119684
Dhaka,Nabiganj,119845
Dhaka,Sreemangal,120031
Dhaka,Sathkhira,121365
Dhaka,Mongla,121591
Dhaka,Naogaon,121627
Dhaka,Chuadanga,121797
Dhaka,Barguna,122121
Dhaka,kishoreganj,122382
Dhaka,Natore,Pri-125045/Secon127420
Dhaka,Korotia,125934
Dhaka,Fulbaria,126440
Dhaka,Babuganj,128992
Dhaka,NTMC,130859
CTG,Boalkhali,125990
Dhaka,Kaliakoir(Felicity pop),132790
Dhaka,Chatterpaiya,132782
Dhaka,Madhobdi,140025
Dhaka,Pabna,142912
